id,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
45069559,Entire home/apt,4,1,2,3,$107.00 ,3,30,3,3,30,30,3,30,,t,26,56,86,360,2020-10-25,2,2,1,2020-09-08,2020-09-29,100,10,10,10,10,10,9,STR-OPLI-20-000145,f,1,1,0,0,1.25
45077493,Shared room,1,2,1,,$18.00 ,1,13,1,1,1125,1125,1,1125,,t,16,16,16,16,2020-10-25,1,1,0,2020-09-20,2020-09-20,60,8,8,10,10,10,8,STR-OPLI-19-002009,t,38,1,20,17,0.83
45077702,Private room,2,2,1,2,$25.00 ,1,13,1,1,1125,1125,1,1125,,t,16,16,16,16,2020-10-25,0,0,0,,,,,,,,,,STR-OPLI-19-002009,t,38,1,20,17,
45088992,Entire home/apt,8,2,3,4,$81.00 ,1,1125,1,2,1125,1125,1,1125,,t,24,54,84,358,2020-10-25,0,0,0,,,,,,,,,,STR-OPLI-19-002712,f,5,5,0,0,
45098051,Entire home/apt,4,1,,2,$72.00 ,1,18,1,3,1125,1125,1.1,1125,,t,30,60,89,89,2020-10-25,7,7,4,2020-09-04,2020-10-18,94,9,9,10,9,10,9,STR-OPLI-19-001304,f,9,8,0,1,4.04
45098191,Entire home/apt,4,2,2,2,$124.00 ,3,30,3,3,30,30,3,30,,t,19,46,76,350,2020-10-25,4,4,2,2020-09-05,2020-10-12,100,10,10,9,10,10,10,STR-OPLI-20-000318,f,1,1,0,0,2.35
45104415,Private room,4,2,1,2,$25.00 ,1,13,1,1,13,13,1,13,,t,0,0,0,0,2020-10-25,5,5,3,2020-09-14,2020-10-09,68,6,7,10,8,10,8,STR-OPLI-19-002009,t,38,1,20,17,3.57
45104693,Entire home/apt,4,1,1,2,$74.00 ,30,1125,30,30,1125,1125,30,1125,,t,17,47,77,77,2020-10-25,1,1,1,2020-10-06,2020-10-06,100,10,10,10,10,10,10,,t,4,4,0,0,1
45121682,Entire home/apt,3,1,1,1,$120.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121684,Entire home/apt,1,1,,1,$109.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121685,Entire home/apt,3,1,1,1,$125.00 ,90,365,90,243,365,365,94.9,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121688,Entire home/apt,5,1,2,2,$141.00 ,90,365,90,243,365,365,94.9,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121689,Entire home/apt,3,1,1,1,$120.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121691,Entire home/apt,3,1,1,1,$117.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121695,Entire home/apt,1,1,,1,$96.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121697,Entire home/apt,1,1,,1,$101.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121699,Entire home/apt,3,1,1,1,$109.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121701,Entire home/apt,3,1,1,1,$124.00 ,90,365,90,243,365,365,94.9,365,,t,21,51,81,356,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
45121702,Entire home/apt,5,2,2,2,$151.00 ,90,365,90,243,365,365,94.6,365,,t,25,55,85,360,2020-10-25,0,0,0,,,,,,,,,,,t,350,350,0,0,
