순번,하수처리시설명,수질등록일자,날씨,기온(℃),수온,유입수BOD(mg/L),유입수COD(mg/L),유입수SS(mg/L),유입수TN(mg/L),유입수TP(mg/L),유입수대장균수(개/ml),유입량(m3/d),방류수BOD(mg/L),방류수COD(mg/L),방류수SS(mg/L),방류수TN(mg/L),방류수TP(mg/L),방류수대장균수(개/ml),방류량(m3/d)
296,능곡하수처리시설,2019-03-10,흐림,14,17,160.2,93.9,97.5,46.449,3.801,"82,500","5,519",6.7,13.1,4.9,7.852,0.983,400,"3,383"
295,능곡하수처리시설,2019-03-11,비,7,16.3,230.4,102.1,225.0,77.788,5.673,"66,000","5,599",4.6,10.3,2.6,4.062,0.473,220,"5,167"
294,능곡하수처리시설,2019-03-12,흐림,7,16.9,315.0,104.7,65.0,34.650,3.450,"33,000","4,558",5.1,11.1,4.4,2.344,0.610,180,"4,142"
293,능곡하수처리시설,2019-03-13,맑음,7,15.6,306.6,69.0,210.0,34.846,7.158,"11,000","5,359",3.2,10.2,2.3,1.574,0.334,180,"4,203"
292,능곡하수처리시설,2019-03-14,비,9,16.8,198.6,105.5,110.0,46.311,3.193,"38,500","5,810",3.9,12.0,2.2,1.162,0.186,40,"3,244"
291,능곡하수처리시설,2019-03-15,눈,11,17,339.0,124.6,267.5,62.774,8.663,"110,000","5,658",4.1,12.0,2.2,0.251,0.160,110,"4,768"
290,능곡하수처리시설,2019-03-16,흐림,8,17.4,303.6,83.4,285.0,38.628,3.449,"99,000","4,578",3.6,9.3,3.2,1.815,0.395,440,"4,069"
289,능곡하수처리시설,2019-03-17,흐림,11,16.7,344.4,114.1,197.5,41.455,4.332,"99,000","4,530",8.4,10.9,4.0,1.702,0.472,150,"4,028"
288,능곡하수처리시설,2019-03-18,흐림,10,16.8,267.6,122.0,165.0,36.743,6.530,"209,000","4,486",4.1,10.0,2.3,1.457,0.513,150,"3,972"
287,능곡하수처리시설,2019-03-19,흐림,13,17.3,327.0,119.2,147.5,54.961,7.057,"154,000","4,794",4.4,8.7,3.5,1.979,0.447,370,"4,025"
286,능곡하수처리시설,2019-03-20,비,14,17.1,175.8,101.3,190.0,50.936,6.057,"33,000","4,653",2.2,8.8,2.2,1.738,0.327,150,"4,097"
285,능곡하수처리시설,2019-03-21,비,10,17.6,214.2,98.3,160.0,70.717,7.739,"121,000","4,864",2.9,7.9,2.3,1.875,0.341,110,"4,444"
