순번,하수처리시설명,수질등록일자,날씨,기온(℃),수온,유입수BOD(mg/L),유입수COD(mg/L),유입수SS(mg/L),유입수TN(mg/L),유입수TP(mg/L),유입수대장균수(개/ml),유입량(m3/d),방류수BOD(mg/L),방류수COD(mg/L),방류수SS(mg/L),방류수TN(mg/L),방류수TP(mg/L),방류수대장균수(개/ml),방류량(m3/d)
56,능곡하수처리시설,2019-11-05,비,12.4,21.7,414.0,103.2,187.5,43.555,5.316,"165,000","4,203",4.5,8.9,2.3,1.460,0.820,130,"4,067"
55,능곡하수처리시설,2019-11-06,비,11,21.6,397.2,110.0,140.0,73.768,7.307,"198,000","4,300",1.6,9.7,2.5,1.511,0.627,110,"4,271"
54,능곡하수처리시설,2019-11-07,맑음,9.2,22.9,199.2,94.8,110.0,33.416,4.748,"77,000","4,238",4.8,8.1,2.2,1.454,0.337,150,"4,069"
53,능곡하수처리시설,2019-11-08,맑음,6.9,19.4,304.2,94.0,95.0,38.185,5.025,"154,000","4,327",2.8,9.8,2.0,1.385,0.525,150,"4,174"
52,능곡하수처리시설,2019-11-09,맑음,9.5,20,344.4,95.4,247.5,40.260,4.324,"176,000","4,225",3.1,9.7,2.1,2.322,0.628,150,"4,030"
51,능곡하수처리시설,2019-11-10,비,10,19.4,336.0,97.2,175.0,80.658,7.830,"154,000","4,294",3.1,10.0,2.3,1.949,0.773,220,"4,047"
50,능곡하수처리시설,2019-11-11,비,11.2,19.2,357.0,105.6,182.5,72.267,6.336,"176,000","4,624",3.8,9.5,2.5,1.756,0.773,240,"4,405"
49,능곡하수처리시설,2019-11-12,흐림,9.3,21,400.2,106.8,117.5,66.236,7.179,"132,000","4,388",4.7,9.2,2.1,1.241,0.560,180,"4,175"
48,능곡하수처리시설,2019-11-13,비,7.2,20.6,288.0,91.0,207.5,23.889,5.646,"121,000","4,338",4.2,8.9,2.8,1.108,0.629,70,"4,159"
47,능곡하수처리시설,2019-11-14,맑음,1.3,20.2,264.0,94.4,132.5,60.812,8.814,"187,000","4,669",2.2,9.3,2.9,1.556,0.606,180,"4,182"
46,능곡하수처리시설,2019-11-15,비,5.6,15.6,323.4,120.0,210.0,61.806,7.192,"88,000","4,665",2.3,8.4,2.9,2.041,0.735,130,"4,438"
45,능곡하수처리시설,2019-11-16,흐림,6.8,19,481.8,104.6,220.0,54.174,6.731,"77,000","4,585",4.3,8.7,1.7,1.597,0.554,240,"4,177"
44,능곡하수처리시설,2019-11-17,비,8.3,19.1,433.2,92.2,87.5,28.186,2.875,"66,000","5,229",4.7,9.9,2.4,1.981,0.290,110,"4,714"
43,능곡하수처리시설,2019-11-18,눈,4.6,20.1,325.8,112.8,170.0,47.973,5.176,"77,000","5,259",5.0,9.0,3.3,2.347,0.596,200,"5,077"
42,능곡하수처리시설,2019-11-19,흐림,0.2,19.4,264.0,78.8,127.5,43.600,4.658,"110,000","4,472",3.9,9.0,2.9,1.799,0.692,130,"4,268"
41,능곡하수처리시설,2019-11-20,맑음,0.5,18.6,280.8,99.2,110.0,95.833,4.746,"44,000","4,323",4.4,8.6,2.3,2.032,0.309,240,"4,076"
40,능곡하수처리시설,2019-11-21,맑음,4.2,17.1,328.8,88.4,165.0,36.020,5.465,"143,000","4,289",3.2,9.1,2.0,0.957,1.216,70,"4,040"
39,능곡하수처리시설,2019-11-22,맑음,9.7,19.2,400.2,94.6,127.5,68.607,6.909,"66,000","4,821",4.6,8.7,2.8,2.215,0.550,220,"4,418"
38,능곡하수처리시설,2019-11-23,흐림,12.1,18.9,358.2,69.6,77.5,27.834,3.494,"220,000","4,417",6.3,9.2,2.0,2.124,0.535,350,"4,138"
37,능곡하수처리시설,2019-11-24,비,9.8,18.6,446.4,117.0,252.5,42.036,5.718,"33,000","4,665",4.0,9.0,2.8,2.397,0.349,310,"4,363"
36,능곡하수처리시설,2019-11-25,맑음,1.9,19.8,247.2,92.6,230.0,44.024,4.433,"66,000","4,559",3.2,8.9,2.3,1.716,0.488,130,"4,294"
35,능곡하수처리시설,2019-11-26,흐림,6.6,19,202.8,80.0,117.5,53.310,5.757,"143,000","4,266",3.4,9.8,3.4,1.583,0.321,150,"3,970"
34,능곡하수처리시설,2019-11-27,맑음,3.1,19.2,363.6,90.4,430.0,58.161,7.260,"88,000","4,354",4.8,8.8,2.5,2.136,0.338,220,"4,145"
33,능곡하수처리시설,2019-11-28,맑음,3.5,19.3,303.6,117.4,202.5,109.509,1.931,"154,000","4,338",5.1,9.1,3.1,3.021,0.353,180,"4,093"
32,능곡하수처리시설,2019-11-29,맑음,1.5,18.6,205.8,100.6,140.0,29.652,4.942,"121,000","4,249",2.6,8.8,2.0,2.238,0.539,110,"4,042"
31,능곡하수처리시설,2019-11-30,맑음,4.1,18.6,274.8,98.1,230.0,49.440,6.093,"154,000","4,394",3.9,9.1,3.8,2.329,0.488,150,"4,146"
30,능곡하수처리시설,2019-12-01,비,4.6,18.3,314.4,93.2,162.5,49.597,3.786,"176,000","4,176",3.8,10.7,4.4,4.050,0.260,200,"4,061"
29,능곡하수처리시설,2019-12-02,흐림,-0.1,17.8,372.6,90.0,115.0,45.542,5.112,"165,000","4,394",7.7,10.3,2.9,1.322,0.557,150,"4,272"
28,능곡하수처리시설,2019-12-03,흐림,0.5,17.6,387.0,99.0,107.5,35.934,4.890,"187,000","4,173",6.9,10.0,3.4,2.074,0.280,220,"3,892"
27,능곡하수처리시설,2019-12-04,비,2,17.5,250.8,90.4,185.0,68.386,7.590,"198,000","4,326",4.4,9.7,2.9,2.108,0.508,260,"3,880"
26,능곡하수처리시설,2019-12-05,맑음,-4.4,15.6,169.8,87.2,115.0,43.930,4.924,"132,000","3,970",2.5,8.8,3.6,2.466,0.427,150,"4,624"
25,능곡하수처리시설,2019-12-06,맑음,-5.9,16.6,400.2,130.6,282.5,66.165,7.063,"264,000","4,123",4.6,9.4,3.3,2.140,0.422,180,"4,081"
24,능곡하수처리시설,2019-12-07,눈,-2.4,15.4,464.4,109.2,200.0,47.456,3.936,"330,000","4,018",3.8,9.2,2.4,4.515,0.924,260,"3,931"
23,능곡하수처리시설,2019-12-08,흐림,-0.9,15.1,323.4,82.5,110.6,44.754,3.315,"374,000","3,992",5.8,9.6,3.4,3.315,0.984,200,"3,953"
22,능곡하수처리시설,2019-12-09,비,3.2,17,234.0,133.6,147.5,39.952,2.438,"220,000","4,166",2.5,9.5,2.0,3.936,1.048,180,"3,991"
21,능곡하수처리시설,2019-12-10,비,8.1,19.4,186.0,116.4,175.0,56.977,6.776,"242,000","4,423",2.8,10.5,4.4,1.700,0.396,130,"4,435"
20,능곡하수처리시설,2019-12-11,비,6.3,17.9,233.4,113.6,142.5,64.716,6.528,"154,000","4,257",6.0,9.6,2.9,2.876,0.407,240,"4,063"
19,능곡하수처리시설,2019-12-12,맑음,-0.7,18,207.6,117.8,145.0,50.744,6.136,"264,000","4,355",7.8,10.4,2.8,1.659,0.345,180,"4,279"
18,능곡하수처리시설,2019-12-13,눈,2.1,15.5,360.6,124.0,580.0,93.755,8.302,"242,000","4,300",8.8,8.5,2.0,2.094,0.253,130,"4,101"
17,능곡하수처리시설,2019-12-14,비,2.7,18.3,217.2,99.8,167.5,63.023,7.099,"286,000","4,380",4.4,11.9,3.0,2.232,0.684,150,"4,179"
16,능곡하수처리시설,2019-12-15,흐림,5.3,18.4,100.8,103.9,105.0,63.588,5.804,"132,000","4,394",2.5,12.4,3.6,1.695,0.601,70,"4,177"
15,능곡하수처리시설,2019-12-16,흐림,7.8,18.4,193.2,94.8,220.0,50.312,5.206,"176,000","5,216",2.9,12.3,3.2,2.097,0.578,310,"4,712"
14,능곡하수처리시설,2019-12-17,비,7.7,17.8,303.6,138.8,217.5,67.264,5.328,"242,000","4,052",4.4,9.8,3.5,5.328,0.791,110,"3,882"
13,능곡하수처리시설,2019-12-18,흐림,0.8,18.5,302.4,118.2,200.0,62.045,6.108,"154,000","4,544",8.4,10.5,2.2,2.793,0.401,200,"4,359"
12,능곡하수처리시설,2019-12-19,눈,-0.8,18,276.6,117.2,147.5,45.719,5.692,"330,000","4,399",5.0,9.0,1.9,1.819,0.403,90,"4,255"
11,능곡하수처리시설,2019-12-20,눈,-1.1,18.1,285.0,119.0,127.5,42.350,5.913,"264,000","5,213",2.2,10.4,2.0,1.716,0.754,130,"4,534"
10,능곡하수처리시설,2019-12-21,눈,-1.2,17.1,158.4,72.4,110.0,71.798,4.991,"330,000","4,336",1.7,9.0,2.7,2.469,0.448,200,"4,012"
9,능곡하수처리시설,2019-12-22,비,4.1,18.9,306.6,102.4,140.0,28.868,2.992,"132,000","4,520",8.0,8.7,2.0,4.151,0.247,150,"4,129"
8,능곡하수처리시설,2019-12-23,비,3.4,18.2,388.2,114.8,192.5,55.804,5.846,"264,000","4,419",5.6,8.3,2.4,3.130,0.496,110,"4,035"
7,능곡하수처리시설,2019-12-24,흐림,0.8,17.4,430.2,111.2,192.5,49.053,5.540,"176,000","4,763",5.7,8.9,2.3,1.830,0.369,110,"4,448"
6,능곡하수처리시설,2019-12-25,흐림,2,16.8,264.0,120.6,177.5,50.312,4.403,"220,000","4,686",4.0,7.5,2.9,3.587,0.387,70,"4,551"
5,능곡하수처리시설,2019-12-26,비,2,15.4,329.4,115.0,397.0,60.807,8.686,"330,000","4,349",1.9,7.7,1.1,3.120,0.520,90,"3,730"
4,능곡하수처리시설,2019-12-27,흐림,-1.7,17.5,366.6,106.0,170.0,41.904,5.944,"330,000","4,298",7.7,8.3,1.4,2.189,0.390,150,"3,683"
3,능곡하수처리시설,2019-12-28,맑음,1.1,16.8,196.8,89.2,137.5,29.763,3.158,"396,000","5,008",2.3,7.8,1.7,2.163,0.294,220,"4,881"
2,능곡하수처리시설,2019-12-29,비,3.8,16.7,202.8,90.0,130.0,32.592,3.924,"264,000","4,312",2.3,8.4,1.6,1.704,0.162,350,"3,970"
1,능곡하수처리시설,2019-12-30,눈,2.7,17.1,450.6,120.0,250.0,44.035,5.879,"264,000","4,875",2.0,7.4,2.8,1.924,0.388,150,"4,155"
